TA Ancillary File,,,
Date:,5/18/21,,
Operator:,LC,,
Acid Batch (yymmdd):,,,
Certified CRM TA (umolkg-1):,2131.51,,
Certified CRM Salinity:,32.291,,
Calibration Temperature:,22.4,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
esl06b_03,22.4,32.291,50
RSA_001a,22.3,32.401,100
rsa_001b,22.3,32.447,100
rsa_002a,22.3,32.536,100
rsa_002b,22.3,32.046,100
RSA_003a,22.3,33.003,100
RSA_003b,22.3,32.906,100
RSA_004a,22.3,33.029,100
RSA_004b,22.3,32.993,100
RSA_005a,22.3,32.99,100
RSA_005B,22.3,32.955,100
RSA_006A,22.3,32.9,100
ESL_06b_03,22.3,32.291,50
