TA Ancillary File,,,
Date:,3/8/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_13,22.1,31.789,50
RSA_474,22.1,33.196,100
RSA_475,22.1,33.011,100
RSA_476,22.1,33.011,100
RSA_477,22.1,33.346,100
RSA_478,22.1,33.131,100
RSA_479,22.1,32.786,100
RSA_480,22.1,32.786,100
RSA_481,22.1,33.070,100
RSA_482,22.1,33.180,100
RSA_483,22.1,33.556,100
RSA_484,22.1,33.280,100
RSA_485,22.1,33.044,100
ESL09a_13,22.1,31.789,50
