TA Ancillary File,,,
Date:,10/19/21,,
Operator:,DT,,
Acid Batch (yymmdd):,210524,,
Certified CRM TA (umolkg-1):,2114.9,,
Certified CRM Salinity:,31.862,,
Calibration Temperature:,23.2,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL08b_21,23.2,31.862,50
RSA_072A,23.2,33.282,250
RSA_072B,23.2,32.298,250
RSA_073A,23.2,32.715,250
RSA_073B,23.2,32.497,250
RSA_074A,23.2,32.829,250
RSA_074B,23.2,32.731,250
RSA_075A,23.2,32.837,250
RSA_075B,23.2,32.708,250
RSA_076A,23.2,33.518,250
RSA_076B,23.2,32.329,250
RSA_077A,23.2,33.497,250
RSA_077B,23.2,32.298,250
RSA_078A,23.2,33.284,250
RSA_078B,23.2,32.479,250
ESL08b_21,23.2,31.862,50
