TA Ancillary File,,,
Date:,6/14/21,,
Operator:,KM,,
Acid Batch (yymmdd):,210524,,
Certified CRM TA (umolkg-1):,2109.65,,
Certified CRM Salinity:,31.698,,
Calibration Temperature:,23.3,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL07a_21,23.3,31.698,50
RSA_057B,23.3,32.431,250
RSA_058A,23.3,33.315,100
RSA_058B,23.3,33.361,100
RSA_059A,23.3,34.397,100
RSA_059B,23.3,32.521,100
RSA_060A,23.3,33.324,100
RSA_060B,23.3,32.509,100
RSA_061A,23.3,32.728,100
RSA_061B,23.3,32.548,100
RSA_062A,23.3,32.576,100
RSA_062B,23.3,32.402,100
ESL07a_21,23.3,31.698,50
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
