TA Ancillary File,,,
Date:,6/4/21,,
Operator:,JR,,
Acid Batch (yymmdd):,,,
Certified CRM TA (umolkg-1):,2109.65,,
Certified CRM Salinity:,31.698,,
Calibration Temperature:,23.2,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL07A_01,23.2,31.698,50
RSA_042B,23.2,32.819,100
RSA_043A,23.2,33.650,100
RSA_240,23.2,32.556,100
RSA_044A,23.2,32.918,100
RSA_044B,23.2,32.684,100
RSA_045A,23.2,32.681,100
RSA_045B,23.2,32.653,100
RSA_046A,23.2,32.951,100
RSA_046B,23.2,32.579,100
RSA_047A,23.2,33.668,100
RSA_047B,23.2,32.457,100
RSA_048A,23.2,33.001,100
RSA_048B,23.2,33.086,100
ESL07A_01,23.2,31.698,50
