TA Ancillary File,,,
Date:,2/7/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2112.6,,
Certified CRM Salinity:,31.862,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL08a_01,22.1,31.862,50
RSA_247,22.1,32.5986,100
RSA_248,22.1,32.4017,100
RSA_249,22.1,32.7304,100
RSA_250,22.1,32.4491,100
RSA_251,22.1,32.7816,250
RSA_252,22.1,32.6188,250
RSA_253,22.1,32.2903,250
RSA_254,22.1,32.768,250
RSA_255,22.1,32.687,250
RSA_256,22.1,32.713,250
RSA_257,22.1,32.5935,250
RSA_258,22.1,32.6495,250
ESL08a_01,22.1,31.862,50
