TA Ancillary File,,,
Date:,2/17/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_02,22.1,31.789,50
RSA_307,22.1,32.5694,250
RSA_308,22.1,32.5501,250
RSA_309,22.1,32.5501,250
RSA_310,22.1,32.547,250
RSA_311,22.1,32.547,250
RSA_312,22.1,32.5442,250
RSA_313,22.1,32.5957,250
RSA_314,22.1,32.4652,250
RSA_315,22.1,32.3576,100
RSA_316,22.1,32.3576,100
RSA_317,22.1,32.8085,100
RSA_318,22.1,32.6927,100
RSA_319,22.1,32.3955,100
RSA_320,22.1,32.988,100
RSA_321,22.1,32.3948,100
ESL09a_02,22.1,31.789,50
