TA Ancillary File,,,
Date:,3/4/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_18,22.1,31.789,50
RSA_447,22.1,32.746,100
RSA_448,22.1,32.527,100
RSA_449,22.1,33.189,100
RSA_450,22.1,32.519,100
RSA_451,22.1,34.071,100
RSA_452,22.1,32.768,100
RSA_453,22.1,32.9,100
RSA_454,22.1,32.9,100
RSA_455,22.1,33.432,100
RSA_456,22.1,33.052,100
RSA_457,22.1,32.810,100
RSA_458,22.1,32.719,100
RSA_459,22.1,32.758,100
RSA_460,22.1,32.594,100
ESL09a_18,22.1,31.789,50
