TA Ancillary File,,,
Date:,3/1/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_23,22.1,31.789,50
RSA_406,22.1,32.543,100
RSA_407,22.1,32.891,100
RSA_408,22.1,32.708,100
RSA_409,22.1,32.575,100
RSA_410,22.1,32.636,100
RSA_411,22.1,32.595,100
RSA_412,22.1,32.773,100
RSA_413,22.1,32.555,100
RSA_414,22.1,32.555,100
RSA_415,22.1,32.875,100
RSA_416,22.1,32.888,100
RSA_417,22.1,33.572,100
RSA_418,22.1,33.680,100
ESL09a_23,22.1,31.789,50
