TA Ancillary File,,,
Date:,3/2/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_08,22.1,31.789,50
RSA_419,22.1,32.776,100
RSA_420,22.1,32.776,100
RSA_421,22.1,32.548,100
RSA_422,22.1,32.712,100
RSA_423,22.1,32.573,100
RSA_424,22.1,32.941,250
RSA_425,22.1,32.528,250
RSA_426,22.1,33.951,250
RSA_427,22.1,32.776,250
RSA_428,22.1,34.080,250
RSA_429,22.1,32.770,250
RSA_430,22.1,34.272,100
ESL09a_08,22.1,31.789,50
