TA Ancillary File,,,
Date:,5/25/21,,
Operator:,LC,,
Acid Batch (yymmdd):,210524,,
Certified CRM TA (umolkg-1):,2109.65,,
Certified CRM Salinity:,31.698,,
Calibration Temperature:,23.4,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
esl07a_19,23.4,31.698,50
RSA_028b,23.4,32.875,250
RSA_029b,23.4,32.295,250
RSA_030a,23.4,32.818,250
RSA_030b,23.4,32.462,250
RSA_031a,23.4,32.807,250
RSA_031b,23.4,32.746,250
RSA_032a,23.4,32.93,250
RSA_032b,23.4,32.919,250
RSA_033a,23.4,32.954,250
RSA_033b,23.4,32.977,250
RSA_034a,23.4,32.911,250
RSA_034b,23.4,32.922,250
RSA_035a,23.4,32.925,250
RSA_035b,23.4,32.921,250
esl07a_19,23.4,31.698,50
