TA Ancillary File,,,
Date:,5/24/21,,
Operator:,LC,,
Acid Batch (yymmdd):,,,
Certified CRM TA (umolkg-1):,2131.51,,
Certified CRM Salinity:,32.291,,
Calibration Temperature:,23.4,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL06b_13,23.4,32.291,50
RSA_025a,23.4,33.101,100
RSA_022b,23.4,32.9,100
RSA_023a,23.4,33.039,100
RSA_023b,23.4,33.028,100
RSA_024a,23.4,32.92,100
RSA_024b,23.4,32.864,100
RSA_025b,23.4,32.547,100
RSA_026a,23.4,33.019,100
RSA_026b,23.4,32.401,100
RSA_027a,23.4,33.084,100
RSA_027b,23.4,32.844,100
RSA_028a,23.4,32.876,100
RSA_029a,23.4,32.955,100
esl06b_13,23.4,32.291,50
